Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:46:20+01:00;2021-03-24T13:46:38+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:31:31+01:00;2021-03-24T12:31:49+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T14:48:16+01:00;2021-03-24T14:48:27+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:54:00+01:00;2021-03-24T13:54:18+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:33:26+01:00;2021-03-24T12:33:44+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T14:50:16+01:00;2021-03-24T14:50:27+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:59:45+01:00;2021-03-24T14:00:03+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:37:19+01:00;2021-03-24T12:37:37+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T14:52:16+01:00;2021-03-24T14:52:27+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:09:26+01:00;2021-03-24T14:09:44+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:43:11+01:00;2021-03-24T12:43:29+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T14:56:16+01:00;2021-03-24T14:56:30+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:13:26+01:00;2021-03-24T14:13:44+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:45:00+01:00;2021-03-24T12:45:18+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T15:06:16+01:00;2021-03-24T15:06:30+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:17:25+01:00;2021-03-24T14:17:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:06:05+01:00;2021-03-24T13:06:23+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T15:14:16+01:00;2021-03-24T15:14:30+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:21:25+01:00;2021-03-24T14:21:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:11:50+01:00;2021-03-24T13:12:08+01:00;Applicable
1001;a;0;La Poterie;5004;Anatole France;48.11805,-1.687529;2021-03-24T15:16:13+01:00;2021-03-24T15:16:27+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:23:25+01:00;2021-03-24T14:23:43+01:00;Applicable
